,CODE_GENDER,EXT_SOURCE_3,EMERGENCYSTATE_MODE,OCCUPATION_TYPE,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,WALLSMATERIAL_MODE,REGION_RATING_CLIENT,TARGET
103,F,0.4066174366275036,No,Core staff,Commercial associate,Higher education,Panel,2.0,0
104,F,0.6738300778602003,No,Security staff,Working,Secondary / secondary special,"Stone, brick",3.0,0
110,F,0.1206410299309233,No,Sales staff,Commercial associate,Incomplete higher,"Stone, brick",2.0,1
111,F,0.4525335592581747,No,Realty agents,Commercial associate,Secondary / secondary special,Panel,1.0,0
124,F,0.7394117535524816,No,Laborers,Working,Secondary / secondary special,Panel,2.0,0
129,M,0.7295666907060153,No,Accountants,Commercial associate,Higher education,"Stone, brick",2.0,0
130,F,0.7490217048463391,No,Sales staff,Working,Secondary / secondary special,Panel,2.0,0
134,F,0.746300213050371,No,Medicine staff,Commercial associate,Secondary / secondary special,"Stone, brick",3.0,0
149,F,0.816092360478441,No,Laborers,Working,Secondary / secondary special,Panel,2.0,0
152,F,0.6738300778602003,No,Managers,Commercial associate,Higher education,Monolithic,2.0,0
153,F,0.6754132910917112,No,Accountants,Commercial associate,Higher education,Panel,3.0,0
155,F,0.4206109640437848,No,Core staff,Working,Secondary / secondary special,"Stone, brick",3.0,0
161,M,0.7886807751817684,No,Laborers,Commercial associate,Higher education,Panel,2.0,0
162,F,0.5226973172821112,No,High skill tech staff,Working,Higher education,"Stone, brick",2.0,0
165,F,0.1929422277169508,No,Laborers,Working,Higher education,"Stone, brick",3.0,0
169,M,0.6397075677637197,No,Drivers,Working,Secondary / secondary special,"Stone, brick",2.0,0
170,F,0.2764406945454034,No,Cleaning staff,Working,Secondary / secondary special,"Stone, brick",2.0,0
176,F,0.5495965024956946,No,Laborers,Working,Secondary / secondary special,"Stone, brick",3.0,0
179,M,0.7062051096536562,No,Laborers,Commercial associate,Secondary / secondary special,Mixed,2.0,0
183,F,0.5814837058057234,No,Laborers,Working,Secondary / secondary special,Panel,2.0,0
190,F,0.6075573001388961,No,Sales staff,Commercial associate,Higher education,Panel,2.0,0
202,F,0.2188590822283744,No,Cooking staff,Working,Secondary / secondary special,"Stone, brick",2.0,0
204,F,0.2176285202779586,No,Core staff,Working,Secondary / secondary special,Panel,2.0,0
207,M,0.1214082861631216,No,Laborers,Working,Secondary / secondary special,Wooden,3.0,0
211,F,0.2431864804420123,No,Laborers,Working,Secondary / secondary special,"Stone, brick",2.0,1
223,M,0.4776491548517548,No,Core staff,Working,Higher education,Panel,1.0,0
228,F,0.3944954053123993,No,Sales staff,Commercial associate,Secondary / secondary special,Block,2.0,0
234,F,0.1830351672178103,No,Sales staff,Working,Secondary / secondary special,Panel,2.0,0
241,F,0.622922000268356,No,Sales staff,Commercial associate,Secondary / secondary special,Wooden,2.0,0
255,M,0.4632753280912678,No,Laborers,Commercial associate,Secondary / secondary special,Panel,1.0,1
259,F,0.5884877883422673,No,Medicine staff,State servant,Secondary / secondary special,"Stone, brick",2.0,0
260,M,0.3154721549257734,No,Sales staff,Commercial associate,Secondary / secondary special,"Stone, brick",2.0,1
261,M,0.2009260877159709,No,Laborers,Working,Secondary / secondary special,Panel,2.0,1
262,F,0.0516817674367294,No,Sales staff,Working,Secondary / secondary special,Panel,2.0,0
274,F,0.5779691187553125,No,Core staff,Working,Higher education,"Stone, brick",2.0,0
288,F,0.3092753558842053,No,Core staff,Commercial associate,Incomplete higher,"Stone, brick",1.0,0
291,F,0.2608559142068693,No,Laborers,Commercial associate,Secondary / secondary special,Panel,2.0,1
293,F,0.470456116119975,No,High skill tech staff,Working,Secondary / secondary special,Panel,2.0,0
294,M,0.7789040389824382,No,Laborers,Commercial associate,Secondary / secondary special,"Stone, brick",2.0,0
296,M,0.3154721549257734,No,Laborers,Working,Secondary / secondary special,"Stone, brick",2.0,0
297,M,0.1735274304649146,No,Laborers,Working,Secondary / secondary special,Mixed,2.0,0
298,M,0.5370699579791587,No,Drivers,Working,Secondary / secondary special,Panel,2.0,0
299,M,0.4794489811780563,No,Laborers,Commercial associate,Higher education,Panel,1.0,0
301,F,0.5172965813614878,No,Core staff,State servant,Higher education,Wooden,2.0,0
312,M,0.7992967832109371,No,Laborers,Working,Secondary / secondary special,"Stone, brick",2.0,0
314,M,0.7862666146611379,No,Laborers,Working,Secondary / secondary special,Panel,2.0,0
315,F,0.6058362647264226,No,Sales staff,Commercial associate,Secondary / secondary special,Panel,2.0,0
316,F,0.5406544504453575,No,Core staff,Commercial associate,Higher education,Block,2.0,0
321,F,0.7713615919194317,No,Laborers,Commercial associate,Secondary / secondary special,Block,3.0,0
323,F,0.524496446363472,No,Core staff,Commercial associate,Higher education,Panel,1.0,0
328,M,0.4614823912998385,No,Drivers,Working,Secondary / secondary special,Panel,2.0,0
336,F,0.6722428897082422,No,Secretaries,Working,Secondary / secondary special,"Stone, brick",2.0,0
337,M,0.7394117535524816,No,Core staff,Working,Higher education,Panel,2.0,0
339,F,0.8327850252992314,No,Sales staff,Working,Secondary / secondary special,"Stone, brick",2.0,0
343,M,0.7407990879702335,No,Drivers,Commercial associate,Secondary / secondary special,"Stone, brick",1.0,0
345,F,0.7194907850918436,No,Medicine staff,State servant,Secondary / secondary special,Panel,2.0,0
350,M,0.4866531565147181,No,Sales staff,Working,Higher education,"Stone, brick",2.0,0
353,F,0.4956658291397297,No,Security staff,Working,Higher education,Panel,2.0,0
357,M,0.2238313174701554,No,Managers,Working,Higher education,"Stone, brick",2.0,0
361,F,0.8327850252992314,No,Sales staff,Working,Secondary / secondary special,Panel,2.0,0
363,F,0.4632753280912678,No,Sales staff,Working,Secondary / secondary special,"Stone, brick",2.0,0
365,F,0.3556387169923543,No,Sales staff,Working,Secondary / secondary special,"Stone, brick",2.0,0
366,M,0.3893387918468769,No,Managers,Commercial associate,Higher education,Block,1.0,0
369,F,0.7106743858828587,No,Core staff,Working,Higher education,Wooden,2.0,0
374,F,0.0005272652387098,No,Laborers,Working,Secondary / secondary special,Panel,2.0,0
379,F,0.6577838002083306,No,Sales staff,Commercial associate,Secondary / secondary special,Panel,2.0,0
387,F,0.4866531565147181,No,Laborers,Working,Higher education,"Stone, brick",2.0,0
401,M,0.7675231046555077,No,Drivers,Working,Secondary / secondary special,"Stone, brick",2.0,0
408,M,0.2431864804420123,No,Laborers,Working,Secondary / secondary special,Panel,2.0,1
413,M,0.0790596959945767,No,Drivers,Working,Secondary / secondary special,"Stone, brick",2.0,1
415,M,0.4525335592581747,No,Laborers,Working,Secondary / secondary special,"Stone, brick",2.0,0
426,F,0.3077366963789207,No,Core staff,State servant,Higher education,Panel,2.0,0
430,M,0.7295666907060153,No,Low-skill Laborers,Commercial associate,Secondary / secondary special,"Stone, brick",2.0,0
437,F,0.266456808245056,No,Core staff,Commercial associate,Secondary / secondary special,Wooden,2.0,0
441,F,0.3441550073724169,No,Managers,Commercial associate,Higher education,Panel,1.0,0
446,F,0.6397075677637197,No,Laborers,Commercial associate,Secondary / secondary special,"Stone, brick",2.0,0
453,M,0.6279908192952864,No,Low-skill Laborers,Commercial associate,Secondary / secondary special,"Stone, brick",1.0,0
472,F,0.3910549766342248,No,Medicine staff,Working,Secondary / secondary special,Panel,2.0,0
474,F,0.2151824041847538,No,Sales staff,Commercial associate,Secondary / secondary special,Panel,3.0,0
483,F,0.6313545365850379,No,Sales staff,Commercial associate,Incomplete higher,Panel,2.0,0
487,M,0.3791004853998145,No,Managers,State servant,Higher education,"Stone, brick",1.0,0
489,M,0.4866531565147181,No,Drivers,Commercial associate,Secondary / secondary special,Panel,1.0,0
492,M,0.2176285202779586,No,Sales staff,Working,Secondary / secondary special,Block,2.0,1
493,F,0.6212263380626669,No,Laborers,Commercial associate,Secondary / secondary special,Panel,2.0,0
501,M,0.6195277080511546,No,Laborers,Commercial associate,Lower secondary,"Stone, brick",2.0,0
510,F,0.3723336657058204,No,Cleaning staff,Working,Secondary / secondary special,Panel,2.0,0
511,F,0.5989262182569273,No,Laborers,Commercial associate,Higher education,"Stone, brick",2.0,0
520,M,0.0534780873611726,No,Laborers,Commercial associate,Secondary / secondary special,Panel,1.0,0
529,F,0.3328505641648731,No,Sales staff,Commercial associate,Incomplete higher,"Stone, brick",2.0,0
531,F,0.4329616670974407,No,Laborers,Commercial associate,Higher education,"Stone, brick",2.0,0
532,F,0.1500851762342935,No,Core staff,Commercial associate,Incomplete higher,Panel,2.0,0
542,F,0.4118485559242397,No,Sales staff,Commercial associate,Secondary / secondary special,"Stone, brick",2.0,0
549,F,0.0920128093981064,No,Laborers,Commercial associate,Secondary / secondary special,Panel,2.0,0
551,F,0.7503751495159068,No,Core staff,Commercial associate,Higher education,Panel,1.0,0
554,F,0.5154953751603267,No,Managers,Working,Higher education,"Stone, brick",2.0,0
565,F,0.746300213050371,No,High skill tech staff,Working,Secondary / secondary special,Panel,3.0,0
567,F,0.375711009574066,No,Laborers,Working,Secondary / secondary special,Block,2.0,0
572,F,0.164414178829907,No,Sales staff,Working,Secondary / secondary special,"Stone, brick",2.0,0
578,M,0.7789040389824382,No,Drivers,Commercial associate,Secondary / secondary special,"Stone, brick",2.0,0
587,M,0.6610235391308081,No,IT staff,Working,Higher education,"Stone, brick",2.0,0
591,F,0.4830501881366946,No,High skill tech staff,Working,Higher education,"Stone, brick",3.0,0
597,M,0.7380196196295241,No,Secretaries,Working,Secondary / secondary special,"Stone, brick",1.0,0
601,F,0.3490552510751822,No,Sales staff,Working,Secondary / secondary special,Wooden,3.0,0
604,M,0.4170996682522097,No,Laborers,Working,Secondary / secondary special,"Stone, brick",2.0,0
622,M,0.6363761710860439,No,Managers,Working,Higher education,"Stone, brick",1.0,0
634,F,0.1419915427739129,No,Core staff,Working,Incomplete higher,Panel,2.0,0
638,F,0.524496446363472,No,Medicine staff,Commercial associate,Secondary / secondary special,Panel,2.0,0
645,M,0.4578995512067301,No,Laborers,Commercial associate,Secondary / secondary special,Panel,2.0,0
647,F,0.3723336657058204,No,Laborers,Working,Secondary / secondary special,"Stone, brick",3.0,0
655,F,0.4938628816996244,No,Laborers,Working,Secondary / secondary special,"Stone, brick",2.0,0
658,F,0.5744466170995097,No,Laborers,Working,Secondary / secondary special,Panel,2.0,0
661,F,0.6212263380626669,No,Realty agents,Commercial associate,Higher education,Panel,2.0,0
666,M,0.4650692149562261,No,Managers,Working,Higher education,"Stone, brick",2.0,0
671,F,0.5602843280409464,No,Accountants,Commercial associate,Higher education,"Stone, brick",2.0,0
692,F,0.501075160239048,No,Core staff,Working,Secondary / secondary special,Panel,2.0,0
693,F,0.2707073872651806,No,Sales staff,Working,Secondary / secondary special,"Stone, brick",2.0,0
695,F,0.6832688314232291,No,Laborers,Commercial associate,Incomplete higher,"Stone, brick",2.0,0
700,F,0.4241303111942548,No,Sales staff,Commercial associate,Secondary / secondary special,"Stone, brick",2.0,0
701,M,0.511891801533151,No,Managers,Commercial associate,Higher education,Panel,2.0,0
702,M,0.7544061731797895,No,Managers,Working,Higher education,Panel,1.0,0
719,F,0.5154953751603267,No,Laborers,Commercial associate,Higher education,Panel,2.0,0
726,M,0.6512602186973006,No,Laborers,Commercial associate,Secondary / secondary special,Panel,1.0,1
727,M,0.3296550543128238,No,Core staff,Commercial associate,Secondary / secondary special,Panel,2.0,0
730,F,0.3425288720742255,No,Core staff,State servant,Secondary / secondary special,Panel,1.0,0
765,F,0.5832379256761245,No,Sales staff,Working,Higher education,Panel,2.0,0
774,F,0.8633633824101478,No,High skill tech staff,Commercial associate,Secondary / secondary special,Panel,1.0,0
776,F,0.5989262182569273,No,Medicine staff,Working,Secondary / secondary special,Panel,3.0,0
791,F,0.7898803468924867,No,Core staff,Working,Secondary / secondary special,"Stone, brick",1.0,0
803,M,0.2225807646753351,No,Drivers,Working,Secondary / secondary special,"Stone, brick",2.0,0
812,F,0.8193176922872417,No,Core staff,Working,Secondary / secondary special,"Stone, brick",2.0,0
813,F,0.5902333386185574,No,Laborers,Commercial associate,Higher education,Panel,2.0,0
817,M,0.2188590822283744,No,High skill tech staff,Commercial associate,Higher education,Panel,2.0,1
857,F,0.8193176922872417,No,Sales staff,Working,Secondary / secondary special,Panel,2.0,0
858,F,0.6956219298394389,No,Sales staff,Working,Secondary / secondary special,"Stone, brick",2.0,0
866,M,0.5602843280409464,No,Laborers,Working,Secondary / secondary special,"Stone, brick",2.0,0
875,F,0.6848276586890367,No,Laborers,Commercial associate,Secondary / secondary special,Panel,2.0,0
901,M,0.4294236843421945,No,Laborers,Working,Secondary / secondary special,Panel,2.0,0
917,M,0.622922000268356,No,High skill tech staff,Working,Higher education,Panel,2.0,0
931,M,0.6785676886853644,No,Drivers,Commercial associate,Secondary / secondary special,"Stone, brick",1.0,0
940,M,0.5298898341969072,No,Laborers,Working,Secondary / secondary special,"Stone, brick",1.0,0
947,F,0.6894791426446275,No,Sales staff,Working,Secondary / secondary special,"Stone, brick",3.0,0
959,M,0.6738300778602003,No,Drivers,Working,Secondary / secondary special,Panel,2.0,0
968,M,0.6347055309763198,No,Laborers,Working,Higher education,Panel,2.0,0
970,M,0.6058362647264226,No,Laborers,Working,Secondary / secondary special,Panel,3.0,0
1015,F,0.6413682574954046,No,Sales staff,Working,Secondary / secondary special,"Stone, brick",3.0,0
1017,F,0.5064842396679806,No,Accountants,Working,Secondary / secondary special,"Stone, brick",2.0,0
1031,M,0.434733248750173,No,Laborers,Working,Secondary / secondary special,Block,2.0,0
1032,M,0.1873887653772306,No,Sales staff,Commercial associate,Incomplete higher,Panel,2.0,1
1042,M,0.1411151004466126,No,Laborers,Commercial associate,Higher education,"Stone, brick",2.0,0
1043,M,0.5531646987710016,No,Core staff,Working,Higher education,Panel,2.0,0
1044,F,0.4489622731076524,No,Sales staff,Working,Secondary / secondary special,"Stone, brick",2.0,0
1046,M,0.6722428897082422,No,High skill tech staff,State servant,Secondary / secondary special,Panel,2.0,0
1056,F,0.5971924268337128,No,Cleaning staff,Working,Secondary / secondary special,Panel,3.0,0
1068,F,0.3077366963789207,No,Laborers,State servant,Secondary / secondary special,"Stone, brick",1.0,0
1136,F,0.7366226976503176,No,Laborers,State servant,Secondary / secondary special,"Stone, brick",2.0,1
1140,M,0.7076993447402619,No,Laborers,Commercial associate,Secondary / secondary special,Panel,2.0,0
1141,M,0.3217352821966848,No,Laborers,Working,Secondary / secondary special,"Stone, brick",2.0,0
1153,F,0.7700870700124128,No,Laborers,Working,Higher education,Panel,2.0,0
1163,M,0.6397075677637197,No,Drivers,Commercial associate,Secondary / secondary special,Block,2.0,0
1170,F,0.5656079814115492,No,Accountants,Working,Incomplete higher,Block,2.0,0
1177,F,0.326475210066026,No,Cooking staff,Working,Secondary / secondary special,"Stone, brick",1.0,0
1186,F,0.3706496323299817,No,Laborers,Working,Incomplete higher,Panel,2.0,0
1187,M,0.6658549219640212,No,Laborers,Commercial associate,Secondary / secondary special,"Stone, brick",2.0,0
1195,M,0.2822484337007223,No,Drivers,Commercial associate,Secondary / secondary special,"Stone, brick",2.0,0
1196,F,0.746300213050371,No,Sales staff,Commercial associate,Secondary / secondary special,"Stone, brick",2.0,0
1218,F,0.5460231970049609,No,Sales staff,Working,Secondary / secondary special,"Stone, brick",2.0,0
1238,M,0.524496446363472,No,Drivers,Commercial associate,Secondary / secondary special,Panel,2.0,0
1240,M,0.5370699579791587,No,Drivers,Working,Secondary / secondary special,"Stone, brick",2.0,0
1254,M,0.633031641417419,No,Laborers,Commercial associate,Secondary / secondary special,Panel,2.0,0
1255,M,0.2176285202779586,No,Drivers,Working,Secondary / secondary special,Panel,2.0,0
1270,M,0.3807996826489149,No,Core staff,Working,Higher education,Others,2.0,0
1272,F,0.3979463219016906,No,Laborers,Commercial associate,Secondary / secondary special,Panel,2.0,0
1297,M,0.7352209993926424,No,Laborers,Working,Secondary / secondary special,Panel,2.0,0
1317,F,0.6594055320683344,No,Core staff,Working,Higher education,"Stone, brick",3.0,0
1327,M,0.1500851762342935,No,High skill tech staff,Commercial associate,Secondary / secondary special,"Stone, brick",1.0,0
1336,F,0.6879328378491735,No,Sales staff,Working,Higher education,"Stone, brick",1.0,0
1337,F,0.5585066276769286,No,Accountants,State servant,Higher education,"Stone, brick",2.0,0
1350,F,0.4188542886233217,No,Managers,Commercial associate,Higher education,"Stone, brick",2.0,0
1357,F,0.656158373001177,No,Laborers,Working,Secondary / secondary special,Panel,2.0,0
1362,F,0.7194907850918436,No,Sales staff,Commercial associate,Higher education,"Stone, brick",2.0,0
1363,F,0.5691487713619409,No,Accountants,State servant,Higher education,Panel,1.0,0
1364,M,0.2164029605152194,No,Drivers,Commercial associate,Incomplete higher,Panel,2.0,0
1367,F,0.7062051096536562,No,Laborers,Working,Secondary / secondary special,"Stone, brick",2.0,0
1378,M,0.5638350489514956,No,High skill tech staff,Commercial associate,Higher education,Panel,2.0,0
1399,F,0.6479768603302221,No,Core staff,Working,Higher education,Panel,2.0,0
1400,F,0.4722533429586386,No,Core staff,Working,Secondary / secondary special,"Stone, brick",2.0,0
1401,F,0.1884895337951677,No,Laborers,Working,Secondary / secondary special,"Stone, brick",2.0,0
1407,M,0.4382813743111921,No,Laborers,Commercial associate,Secondary / secondary special,"Stone, brick",2.0,0
1426,M,0.7850520263728172,No,High skill tech staff,Working,Incomplete higher,"Stone, brick",1.0,0
1446,F,0.6817058776720116,No,Sales staff,Working,Secondary / secondary special,Panel,3.0,0
1471,F,0.7001838506835805,No,Private service staff,Working,Secondary / secondary special,"Stone, brick",2.0,0
1478,F,0.7062051096536562,No,Sales staff,Working,Secondary / secondary special,Panel,2.0,0
1487,F,0.2851799046358216,No,Accountants,Commercial associate,Secondary / secondary special,"Stone, brick",2.0,0
1500,M,0.8193176922872417,No,Core staff,Commercial associate,Higher education,Panel,2.0,0
1510,M,0.5919766183185521,No,Laborers,Working,Secondary / secondary special,Block,2.0,0
1513,F,0.6178261467332483,No,Managers,Working,Secondary / secondary special,"Stone, brick",2.0,0
1537,F,0.6279908192952864,No,Private service staff,Working,Secondary / secondary special,"Stone, brick",2.0,0
1544,F,0.6879328378491735,No,Cleaning staff,Working,Secondary / secondary special,Panel,1.0,0
1559,M,0.3425288720742255,No,Laborers,Commercial associate,Secondary / secondary special,"Stone, brick",2.0,0
1561,F,0.2091546988410069,No,Sales staff,Commercial associate,Secondary / secondary special,Block,2.0,0
1566,M,0.7490217048463391,No,Drivers,Commercial associate,Secondary / secondary special,Panel,2.0,0
1568,F,0.5316861425197883,No,Sales staff,Commercial associate,Higher education,"Stone, brick",2.0,0
1579,F,0.2405414172860865,No,Laborers,Working,Secondary / secondary special,Panel,2.0,0
1583,F,0.5478104658520093,No,Laborers,Commercial associate,Secondary / secondary special,Panel,1.0,0
1585,F,0.2567055724393002,No,Cleaning staff,Working,Secondary / secondary special,"Stone, brick",1.0,0
1592,M,0.6178261467332483,No,Laborers,Working,Secondary / secondary special,"Stone, brick",1.0,0
1629,F,0.5744466170995097,No,Sales staff,Working,Secondary / secondary special,Panel,1.0,0
1661,F,0.7583930617144343,No,Accountants,Working,Incomplete higher,"Stone, brick",2.0,0
1670,F,0.2539628093363117,No,Medicine staff,Working,Secondary / secondary special,Panel,2.0,0
1675,F,0.5744466170995097,No,Accountants,Working,Higher education,Panel,3.0,0
1699,F,0.3474182272002641,No,Sales staff,Working,Secondary / secondary special,"Stone, brick",2.0,0
1705,F,0.7165702448010511,No,Accountants,Commercial associate,Higher education,Monolithic,2.0,0
1709,M,0.6528965519806539,No,Cooking staff,Working,Incomplete higher,Panel,3.0,0
1716,F,0.5334816299804352,No,Sales staff,Working,Secondary / secondary special,"Stone, brick",2.0,0
1726,F,0.2764406945454034,No,Accountants,Working,Secondary / secondary special,Panel,2.0,0
1736,F,0.722392890081304,No,Sales staff,Working,Higher education,"Stone, brick",2.0,0
1765,F,0.5334816299804352,No,Laborers,Commercial associate,Secondary / secondary special,Panel,2.0,0
1795,M,0.6894791426446275,No,Core staff,Commercial associate,Higher education,Panel,2.0,0
1796,F,0.4365064990977374,No,Managers,Working,Higher education,"Stone, brick",2.0,0
1806,F,0.6956219298394389,No,Laborers,Working,Secondary / secondary special,Panel,2.0,0
1807,M,0.6577838002083306,No,Laborers,Working,Secondary / secondary special,Panel,1.0,0
1814,F,0.622922000268356,No,Core staff,Working,Higher education,Panel,2.0,0
1823,F,0.4066174366275036,No,Managers,Commercial associate,Secondary / secondary special,Panel,2.0,0
1829,F,0.363945238612397,No,Sales staff,Commercial associate,Secondary / secondary special,"Stone, brick",2.0,0
1850,M,0.3376727217405312,No,Laborers,Working,Secondary / secondary special,"Stone, brick",2.0,0
1856,M,0.6195277080511546,No,Laborers,Working,Secondary / secondary special,Panel,2.0,0
1857,F,0.813917469762627,No,Accountants,Working,Secondary / secondary special,"Stone, brick",2.0,0
1864,F,0.4471785780453068,No,High skill tech staff,Working,Secondary / secondary special,"Stone, brick",2.0,0
1890,F,0.6738300778602003,No,Sales staff,Commercial associate,Secondary / secondary special,Panel,2.0,0
1891,M,0.2622489709189549,No,Drivers,Working,Higher education,Panel,2.0,1
1895,M,0.6127042441012546,No,Managers,Working,Secondary / secondary special,Panel,2.0,0
1912,F,0.6940926425266661,No,Core staff,Working,Secondary / secondary special,"Stone, brick",2.0,0
1916,M,0.445396241560834,No,High skill tech staff,Working,Secondary / secondary special,Wooden,2.0,0
1918,F,0.1206410299309233,No,Managers,Commercial associate,Secondary / secondary special,"Stone, brick",2.0,0
1919,M,0.6092756673894402,No,Sales staff,Commercial associate,Secondary / secondary special,Panel,2.0,0
1941,M,0.6706517530862718,No,Laborers,State servant,Secondary / secondary special,"Stone, brick",1.0,0
1942,M,0.7032033049040319,No,Managers,Commercial associate,Higher education,Block,3.0,0
1949,F,0.2009260877159709,No,High skill tech staff,Working,Secondary / secondary special,"Stone, brick",2.0,0
1968,F,0.7001838506835805,No,Security staff,Commercial associate,Higher education,"Stone, brick",1.0,0
1969,F,0.5726825047161584,No,Core staff,State servant,Higher education,Panel,1.0,0
1973,F,0.6092756673894402,No,Laborers,Working,Secondary / secondary special,Panel,1.0,0
1981,F,0.7121551551910698,No,Core staff,Working,Higher education,Panel,2.0,0
1992,M,0.5797274227921155,No,Managers,Commercial associate,Secondary / secondary special,Panel,1.0,0
2020,M,0.2851799046358216,No,Laborers,Commercial associate,Secondary / secondary special,Block,2.0,0
2021,F,0.4920600938649263,No,Laborers,Commercial associate,Secondary / secondary special,"Stone, brick",3.0,0
2024,M,0.524496446363472,No,Security staff,Commercial associate,Secondary / secondary special,Panel,2.0,0
2028,F,0.6178261467332483,No,Sales staff,Working,Secondary / secondary special,Panel,1.0,0
2039,M,0.7675231046555077,No,Managers,Working,Higher education,Block,3.0,0
2043,F,0.7610263695502636,No,Core staff,State servant,Secondary / secondary special,"Stone, brick",2.0,0
2069,F,0.6092756673894402,No,Laborers,Working,Secondary / secondary special,Panel,1.0,0
2097,F,0.8106180215523969,No,Cleaning staff,Working,Secondary / secondary special,"Stone, brick",2.0,0
2098,F,0.3774042489507649,No,Security staff,Working,Higher education,"Stone, brick",1.0,0
2120,F,0.1061556230153924,No,Sales staff,Commercial associate,Higher education,Panel,3.0,0
2121,M,0.7281412993111438,No,Laborers,Working,Secondary / secondary special,"Stone, brick",1.0,0
2127,F,0.8128226070575616,No,Sales staff,Working,Incomplete higher,"Stone, brick",2.0,0
2139,M,0.5154953751603267,No,Managers,State servant,Higher education,Panel,2.0,0
2140,F,0.3927738606031339,No,Sales staff,Working,Secondary / secondary special,Panel,3.0,0
2167,M,0.7700870700124128,No,Sales staff,Commercial associate,Higher education,Panel,3.0,0
2170,M,0.6413682574954046,No,Security staff,Commercial associate,Secondary / secondary special,"Stone, brick",2.0,0
2175,F,0.2238313174701554,No,Managers,Working,Higher education,Block,2.0,0
2215,F,0.7366226976503176,No,Core staff,State servant,Secondary / secondary special,Block,3.0,0
2224,F,0.1464420666789632,No,Sales staff,Working,Secondary / secondary special,Panel,2.0,0
2239,M,0.4507472818545589,No,Core staff,Working,Secondary / secondary special,"Stone, brick",3.0,0
2267,M,0.1008037063175332,No,Laborers,Working,Secondary / secondary special,Block,3.0,0
2268,M,0.6430255641096323,No,Drivers,Working,Higher education,Panel,2.0,0
2270,F,0.5136937663039473,No,Medicine staff,State servant,Secondary / secondary special,Panel,2.0,0
2284,F,0.6041125998015721,No,Accountants,Working,Higher education,Panel,1.0,0
2286,F,0.1556893746835917,No,Laborers,Commercial associate,Secondary / secondary special,Panel,1.0,0
2287,M,0.2009260877159709,No,Managers,Commercial associate,Incomplete higher,"Stone, brick",2.0,1
2304,M,0.6658549219640212,No,Laborers,State servant,Incomplete higher,"Stone, brick",2.0,0
2315,M,0.6380435278721609,No,Security staff,Commercial associate,Secondary / secondary special,"Stone, brick",2.0,0
2320,F,0.4543210601605785,No,Managers,State servant,Secondary / secondary special,Panel,2.0,0
2337,F,0.3296550543128238,No,Sales staff,Working,Secondary / secondary special,Panel,1.0,0
2343,F,0.1342654235549427,No,Sales staff,Commercial associate,Secondary / secondary special,"Stone, brick",3.0,0
2359,F,0.6246146584503397,No,Medicine staff,State servant,Secondary / secondary special,"Stone, brick",3.0,0
2363,F,0.2091546988410069,No,High skill tech staff,Working,Higher education,Panel,3.0,0
2380,F,0.1325974952361461,No,Security staff,Working,Secondary / secondary special,"Stone, brick",2.0,0
2385,F,0.3062022983135042,No,Cooking staff,Working,Lower secondary,"Stone, brick",2.0,0
2396,F,0.6263042766749393,No,Managers,Commercial associate,Higher education,Panel,2.0,0
